Timestamp,Device,Event Type,CPU Usage (%),Memory Usage (%),Throughput (Mbps),Error Rate (%)
2024-04-20 00:00:00,Router_Model_X,Memory Leak,100.0,26.75,721.35,5.711695123565257
2024-04-20 01:00:00,Router_Model_X,Security Alert,100.0,44.74,801.03,2.9578122226663215
2024-04-20 02:00:00,Router_Model_X,Packet Drop,80.09787597245216,54.16,488.46,5.589604519663558
2024-04-20 03:00:00,Router_Model_X,Normal,34.65,74.09,562.23,3.76
2024-04-20 04:00:00,Router_Model_X,Memory Leak,79.95094114143122,56.85,980.61,6.440842239045854
2024-04-20 05:00:00,Router_Model_X,Memory Leak,90.28152468903014,45.59,130.53,4.076583899216562
2024-04-20 06:00:00,Router_Model_X,Normal,59.54,74.85,577.48,2.59
2024-04-20 07:00:00,Router_Model_X,Packet Drop,59.792480623937536,20.73,166.56,3.5419336295798125
2024-04-20 08:00:00,Router_Model_X,High CPU Usage,70.30700250894145,64.01,107.31,5.316550437993676
2024-04-20 09:00:00,Router_Model_X,High CPU Usage,33.958783204491354,17.49,497.79,2.122321658914437
2024-04-20 10:00:00,Router_Model_X,Normal,58.71,22.99,761.23,2.13
2024-04-20 11:00:00,Router_Model_X,High CPU Usage,94.9553739735155,22.73,129.72,6.025052759615309
2024-04-20 12:00:00,Router_Model_X,Packet Drop,57.87999039432611,72.9,605.43,5.978285512304548
2024-04-20 13:00:00,Router_Model_X,Security Alert,63.94390475115091,57.46,754.76,6.499508756495358
2024-04-20 14:00:00,Router_Model_X,Packet Drop,85.4355202760178,57.98,357.66,5.420132578479928
2024-04-20 15:00:00,Router_Model_X,Security Alert,78.25650919490786,34.33,392.41,4.209151573836953
2024-04-20 16:00:00,Router_Model_X,Security Alert,30.810952315196573,48.04,288.52,5.0638201466711426
2024-04-20 17:00:00,Router_Model_X,Memory Leak,100.0,34.55,663.96,5.391838571569407
2024-04-20 18:00:00,Router_Model_X,Normal,12.68,68.74,137.23,1.14
2024-04-20 19:00:00,Router_Model_X,Memory Leak,72.07399884383926,12.71,68.0,6.7364141369654815
2024-04-20 20:00:00,Router_Model_X,Packet Drop,98.93432252337864,33.6,188.16,5.879423523433855
2024-04-20 21:00:00,Router_Model_X,Security Alert,95.24246472964577,52.97,667.76,4.104174524713327
2024-04-20 22:00:00,Router_Model_X,Normal,18.59,36.95,287.08,3.76
2024-04-20 23:00:00,Router_Model_X,Security Alert,51.94275825052743,46.54,620.31,1.4550706609198658
2024-04-21 00:00:00,Router_Model_X,Security Alert,63.59380832582313,71.74,94.28,5.132270065038558
2024-04-21 01:00:00,Router_Model_X,Security Alert,32.8251465146227,41.05,182.33,2.0631013468870902
2024-04-21 02:00:00,Router_Model_X,Memory Leak,32.8453658901863,43.58,746.2,6.117524727185472
2024-04-21 03:00:00,Router_Model_X,High CPU Usage,66.08028146832257,19.31,248.28,3.2537025892085856
2024-04-21 04:00:00,Router_Model_X,High CPU Usage,85.44211894718268,77.94,192.33,3.047317778375854
2024-04-21 05:00:00,Router_Model_X,Memory Leak,99.57922433584866,70.35,247.56,4.540032674099495
2024-04-21 06:00:00,Router_Model_X,Security Alert,64.38697485551076,44.16,656.27,7.282923771146628
2024-04-21 07:00:00,Router_Model_X,Packet Drop,100.0,58.64,465.17,5.0488135660618205
2024-04-21 08:00:00,Router_Model_X,Security Alert,95.44987760601299,76.72,372.5,3.7348728193290106
2024-04-21 09:00:00,Router_Model_X,Packet Drop,45.49076686496111,64.33,157.15,4.390125062234137
2024-04-21 10:00:00,Router_Model_X,Normal,64.96,29.09,431.65,1.08
2024-04-21 11:00:00,Router_Model_X,Security Alert,38.25806229786264,66.35,407.1,2.8337791014959874
2024-04-21 12:00:00,Router_Model_X,Security Alert,48.24593529131332,79.69,640.89,6.639052580524716
2024-04-21 13:00:00,Router_Model_X,Memory Leak,67.91080806005127,43.33,311.37,3.1221040605030614
2024-04-21 14:00:00,Router_Model_X,Normal,71.93,73.79,576.52,1.4
2024-04-21 15:00:00,Router_Model_X,Packet Drop,100.0,66.85,373.92,3.9114190216210156
2024-04-21 16:00:00,Router_Model_X,Memory Leak,100.0,52.82,161.58,5.001623197166429
2024-04-21 17:00:00,Router_Model_X,High CPU Usage,31.052633380019476,54.44,942.87,3.210121303918947
2024-04-21 18:00:00,Router_Model_X,High CPU Usage,63.53553235393839,77.19,887.7,6.236285740093887
2024-04-21 19:00:00,Router_Model_X,Security Alert,47.285292917462854,66.61,127.4,6.540415792781824
2024-04-21 20:00:00,Router_Model_X,Security Alert,82.9396515398181,56.46,404.34,4.30753290188142
2024-04-21 21:00:00,Router_Model_X,High CPU Usage,95.95415045638123,64.72,594.65,6.121544060247965
2024-04-21 22:00:00,Router_Model_X,High CPU Usage,70.08195589995003,21.44,737.05,6.761428775010294
2024-04-21 23:00:00,Router_Model_X,High CPU Usage,56.84319956752873,24.5,565.86,3.3359050126911995
2024-04-22 00:00:00,Router_Model_X,Packet Drop,58.463677347710494,39.25,949.63,6.231024275329761
2024-04-22 01:00:00,Router_Model_X,Security Alert,100.0,21.08,457.74,1.9471894738311786
2024-04-22 02:00:00,Router_Model_X,Security Alert,77.53473122034713,25.8,352.98,3.5241148447656494
2024-04-22 03:00:00,Router_Model_X,Security Alert,76.18111599351484,47.2,911.39,4.418727725711318
2024-04-22 04:00:00,Router_Model_X,Packet Drop,100.0,42.56,123.95,5.223207128038339
2024-04-22 05:00:00,Router_Model_X,Packet Drop,38.143063672366544,69.72,906.59,5.44670536585439
2024-04-22 06:00:00,Router_Model_X,Security Alert,42.3776926647357,67.36,846.83,5.902304341026294
2024-04-22 07:00:00,Router_Model_X,High CPU Usage,100.0,46.47,458.57,4.973544316677516
2024-04-22 08:00:00,Router_Model_X,Normal,89.58,78.98,480.58,1.58
2024-04-22 09:00:00,Router_Model_X,Security Alert,82.34533605664691,19.52,377.88,3.452364760096179
2024-04-22 10:00:00,Router_Model_X,Memory Leak,100.0,72.17,955.48,4.613361664749071
2024-04-22 11:00:00,Router_Model_X,High CPU Usage,86.37445646718467,47.01,566.67,5.782845714124468
2024-04-22 12:00:00,Router_Model_X,Memory Leak,78.999517894002,65.43,904.7,3.046666193440904
2024-04-22 13:00:00,Router_Model_X,Security Alert,100.0,29.21,868.25,6.454838250722965
2024-04-22 14:00:00,Router_Model_X,Packet Drop,100.0,45.59,985.0,4.140297656219168
2024-04-22 15:00:00,Router_Model_X,Memory Leak,31.39347576744625,55.16,611.03,4.623208016729063
2024-04-22 16:00:00,Router_Model_X,Normal,59.11,11.14,532.6,3.15
2024-04-22 17:00:00,Router_Model_X,Normal,28.62,79.53,390.34,4.47
2024-04-22 18:00:00,Router_Model_X,Memory Leak,91.06387036599585,74.95,339.73,6.323566013911801
2024-04-22 19:00:00,Router_Model_X,Normal,17.14,17.07,843.37,2.38
2024-04-22 20:00:00,Router_Model_X,Packet Drop,92.21224143476431,40.07,520.78,5.755713154898891
2024-04-22 21:00:00,Router_Model_X,Packet Drop,71.55179112316908,71.12,261.27,2.387345246008038
2024-04-22 22:00:00,Router_Model_X,Normal,50.19,68.64,370.19,3.37
2024-04-22 23:00:00,Router_Model_X,Security Alert,64.27661951412458,67.62,124.76,2.8651889622984887
2024-04-23 00:00:00,Router_Model_X,Memory Leak,100.0,66.81,104.77,4.372475248361441
2024-04-23 01:00:00,Router_Model_X,Memory Leak,100.0,10.03,380.9,7.357062487502075
2024-04-23 02:00:00,Router_Model_X,Normal,66.31,59.86,880.73,3.02
2024-04-23 03:00:00,Router_Model_X,Security Alert,35.92214147923352,72.97,946.69,4.48287149329214
2024-04-23 04:00:00,Router_Model_X,High CPU Usage,83.12794070549012,67.29,217.6,4.780634489734323
2024-04-23 05:00:00,Router_Model_X,Packet Drop,46.73574171676138,46.02,604.73,5.930056270242526
2024-04-23 06:00:00,Router_Model_X,Packet Drop,33.33247064263021,18.65,50.31,2.4152082973557802
2024-04-23 07:00:00,Router_Model_X,Security Alert,75.99777252338876,79.95,745.66,6.061508868640535
2024-04-23 08:00:00,Router_Model_X,High CPU Usage,87.78324120456166,46.64,932.54,5.304998889238082
2024-04-23 09:00:00,Router_Model_X,Security Alert,31.801462261036583,44.95,147.76,6.390464405720522
2024-04-23 10:00:00,Router_Model_X,Normal,83.89,40.03,741.62,2.95
2024-04-23 11:00:00,Router_Model_X,Security Alert,100.0,22.19,323.4,5.126836008342236
2024-04-23 12:00:00,Router_Model_X,High CPU Usage,63.43986073418894,10.39,972.16,5.487455143116297
2024-04-23 13:00:00,Router_Model_X,Memory Leak,67.73707386204913,52.0,489.13,3.549250847779169
2024-04-23 14:00:00,Router_Model_X,High CPU Usage,47.15149890886336,75.84,880.93,2.6880427652096066
2024-04-23 15:00:00,Router_Model_X,Normal,34.54,41.16,553.4,4.41
2024-04-23 16:00:00,Router_Model_X,Memory Leak,92.89718341942418,55.35,551.88,4.0779955807501755
2024-04-23 17:00:00,Router_Model_X,Normal,76.79,25.41,670.08,1.29
2024-04-23 18:00:00,Router_Model_X,High CPU Usage,94.30112002520232,63.97,482.11,2.3551949368367837
