Date,Device,Avg_CPU_Usage (%),Avg_Memory_Usage (%),Avg_Throughput (Mbps),Error_Rate (%)
2024-04-20,Router_X,38.77,58.51,308.76,0.63
2024-04-20,Firewall_Y,32.71,33.38,759.33,0.93
2024-04-21,Router_X,14.34,55.59,853.42,0.08
2024-04-21,Firewall_Y,42.76,12.01,643.39,1.83
2024-04-22,Router_X,18.6,54.72,231.51,0.26
2024-04-22,Firewall_Y,22.89,52.65,771.76,0.33
2024-04-23,Router_X,60.93,20.0,842.77,0.54
2024-04-23,Firewall_Y,33.52,13.34,133.67,0.72
2024-04-24,Router_X,16.61,40.16,496.58,0.56
2024-04-24,Firewall_Y,54.77,32.16,497.1,1.64
2024-04-25,Router_X,18.92,38.51,884.2,1.66
2024-04-25,Firewall_Y,27.65,12.8,763.78,0.51
2024-04-26,Router_X,22.47,58.36,808.64,0.6
2024-04-26,Firewall_Y,20.82,52.93,349.67,1.66
2024-04-27,Router_X,30.06,13.28,615.31,0.58
2024-04-27,Firewall_Y,69.72,53.65,369.0,1.02
2024-04-28,Router_X,39.82,19.62,803.8,0.51
2024-04-28,Firewall_Y,18.79,53.36,364.66,1.34
2024-04-29,Router_X,24.56,28.99,147.86,1.43
2024-04-29,Firewall_Y,48.49,35.48,709.79,1.57
2024-04-30,Router_X,33.86,52.17,473.62,0.2
2024-04-30,Firewall_Y,33.45,59.3,235.55,1.84
2024-05-01,Router_X,54.24,32.71,556.12,1.33
2024-05-01,Firewall_Y,64.81,20.69,872.16,1.1
2024-05-02,Router_X,19.63,54.21,630.25,0.05
2024-05-02,Firewall_Y,26.79,19.02,741.97,1.4
2024-05-03,Router_X,56.31,26.61,660.61,0.63
2024-05-03,Firewall_Y,10.21,18.25,408.93,1.2
2024-05-04,Router_X,10.73,17.41,458.12,0.35
2024-05-04,Firewall_Y,40.22,59.34,139.34,1.77
